PERMNO,date,PRC,ALTPRC,ALTPRCDT
86580,20070131,30.65000,30.65000,20070131
86580,20070228,31.00000,31.00000,20070228
86580,20070330,28.78000,28.78000,20070330
86580,20070430,32.89000,32.89000,20070430
86580,20070531,34.63900,34.63900,20070531
86580,20070629,41.31000,41.31000,20070629
86580,20070731,45.76000,45.76000,20070731
86580,20070831,51.16000,51.16000,20070831
86580,20070928,36.24000,36.24000,20070928
86580,20071031,35.38000,35.38000,20071031
86580,20071130,31.54000,31.54000,20071130
86580,20071231,34.02000,34.02000,20071231
86580,20080131,24.59000,24.59000,20080131
86580,20080229,21.39000,21.39000,20080229
86580,20080331,19.79000,19.79000,20080331
86580,20080430,20.55000,20.55000,20080430
86580,20080530,24.70000,24.70000,20080530
86580,20080630,18.72000,18.72000,20080630
86580,20080731,11.44000,11.44000,20080731
86580,20080829,12.64000,12.64000,20080829
86580,20080930,10.71000,10.71000,20080930
86580,20081031,8.76000,8.76000,20081031
86580,20081128,7.47000,7.47000,20081128
86580,20081231,8.07000,8.07000,20081231
86580,20090130,7.95000,7.95000,20090130
86580,20090227,8.28000,8.28000,20090227
86580,20090331,9.86000,9.86000,20090331
86580,20090430,11.48000,11.48000,20090430
86580,20090529,10.43000,10.43000,20090529
86580,20090630,11.29000,11.29000,20090630
86580,20090731,12.93000,12.93000,20090731
86580,20090831,14.52000,14.52000,20090831
86580,20090930,15.03000,15.03000,20090930
86580,20091030,11.96000,11.96000,20091030
86580,20091130,13.06000,13.06000,20091130
86580,20091231,18.68000,18.68000,20091231
86580,20100129,15.39000,15.39000,20100129
86580,20100226,16.20000,16.20000,20100226
86580,20100331,17.40000,17.40000,20100331
86580,20100430,15.71000,15.71000,20100430
86580,20100528,13.14000,13.14000,20100528
86580,20100630,10.21000,10.21000,20100630
86580,20100730,9.19000,9.19000,20100730
86580,20100831,9.32500,9.32500,20100831
86580,20100930,11.68200,11.68200,20100930
86580,20101029,12.02050,12.02050,20101029
86580,20101130,13.60900,13.60900,20101130
86580,20101231,15.40000,15.40000,20101231
86580,20110131,23.92000,23.92000,20110131
86580,20110228,22.66000,22.66000,20110228
86580,20110331,18.46000,18.46000,20110331
86580,20110429,20.00000,20.00000,20110429
86580,20110531,20.04000,20.04000,20110531
86580,20110630,15.93500,15.93500,20110630
86580,20110729,13.83000,13.83000,20110729
86580,20110831,13.31000,13.31000,20110831
86580,20110930,12.51000,12.51000,20110930
86580,20111031,14.80000,14.80000,20111031
86580,20111130,15.63000,15.63000,20111130
86580,20111230,13.86000,13.86000,20111230
86580,20120131,14.77000,14.77000,20120131
86580,20120229,15.15000,15.15000,20120229
86580,20120330,15.39500,15.39500,20120330
86580,20120430,13.00000,13.00000,20120430
86580,20120531,12.43000,12.43000,20120531
86580,20120629,13.82000,13.82000,20120629
86580,20120731,13.54000,13.54000,20120731
86580,20120831,14.03000,14.03000,20120831
86580,20120928,13.34000,13.34000,20120928
86580,20121031,11.97500,11.97500,20121031
86580,20121130,11.97000,11.97000,20121130
86580,20121231,12.26000,12.26000,20121231
86580,20130131,12.26000,12.26000,20130131
86580,20130228,12.66000,12.66000,20130228
86580,20130328,12.83000,12.83000,20130328
86580,20130430,13.77000,13.77000,20130430
86580,20130531,14.47000,14.47000,20130531
86580,20130628,14.04000,14.04000,20130628
86580,20130731,14.43500,14.43500,20130731
86580,20130830,14.75000,14.75000,20130830
86580,20130930,15.56000,15.56000,20130930
86580,20131031,15.18900,15.18900,20131031
86580,20131129,15.60000,15.60000,20131129
86580,20131231,16.02000,16.02000,20131231
86580,20140131,15.70000,15.70000,20140131
86580,20140228,18.38000,18.38000,20140228
86580,20140331,17.91000,17.91000,20140331
86580,20140430,18.47000,18.47000,20140430
86580,20140530,19.00000,19.00000,20140530
86580,20140630,18.54000,18.54000,20140630
86580,20140731,17.50000,17.50000,20140731
86580,20140829,19.45000,19.45000,20140829
86580,20140930,18.45000,18.45000,20140930
86580,20141031,19.54000,19.54000,20141031
86580,20141128,20.97000,20.97000,20141128
86580,20141231,20.05000,20.05000,20141231
86580,20150130,19.20500,19.20500,20150130
86580,20150227,22.06000,22.06000,20150227
86580,20150331,20.92500,20.92500,20150331
86580,20150430,22.19500,22.19500,20150430
86580,20150529,22.13000,22.13000,20150529
86580,20150630,20.11000,20.11000,20150630
86580,20150731,19.95000,19.95000,20150731
86580,20150831,22.48000,22.48000,20150831
86580,20150930,24.65000,24.65000,20150930
86580,20151030,28.37000,28.37000,20151030
86580,20151130,31.72000,31.72000,20151130
86580,20151231,32.96000,32.96000,20151231
86580,20160129,29.29000,29.29000,20160129
86580,20160229,31.36000,31.36000,20160229
86580,20160331,35.63000,35.63000,20160331
86580,20160429,35.53000,35.53000,20160429
86580,20160531,46.72000,46.72000,20160531
86580,20160630,47.01000,47.01000,20160630
86580,20160729,57.10000,57.10000,20160729
86580,20160831,61.34000,61.34000,20160831
86580,20160930,68.52000,68.52000,20160930
86580,20161031,71.16000,71.16000,20161031
86580,20161130,92.20000,92.20000,20161130
86580,20161230,106.74000,106.74000,20161230
86580,20170131,109.18000,109.18000,20170131
86580,20170228,101.48000,101.48000,20170228
86580,20170331,108.93000,108.93000,20170331
86580,20170428,104.30000,104.30000,20170428
86580,20170531,144.35001,144.35001,20170531
86580,20170630,144.56000,144.56000,20170630
86580,20170731,162.50999,162.50999,20170731
86580,20170831,169.44000,169.44000,20170831
86580,20170929,178.77000,178.77000,20170929
86580,20171031,206.81000,206.81000,20171031
86580,20171130,200.71001,200.71001,20171130
86580,20171229,193.50000,193.50000,20171229
